"bin_midpoints" "counts"
"166" 15.2178260625345 8
"167" 15.2215578689716 11
"168" 15.2252896754087 4
"169" 15.2290214818457 7
"170" 15.2327532882828 4
"171" 15.2364850947199 9
"172" 15.2402169011569 9
"173" 15.243948707594 12
"174" 15.2476805140311 8
"175" 15.2514123204681 9
"176" 15.2551441269052 7
"177" 15.2588759333423 7
"178" 15.2626077397793 7
"179" 15.2663395462164 8
"180" 15.2700713526535 14
"181" 15.2738031590905 4
"182" 15.2775349655276 7
"183" 15.2812667719647 4
"184" 15.2849985784017 11
"185" 15.2887303848388 5
"186" 15.2924621912759 10
"187" 15.2961939977129 5
"188" 15.29992580415 2
"189" 15.3036576105871 5
"190" 15.3073894170241 4
"191" 15.3111212234612 10
"192" 15.3148530298983 7
"193" 15.3185848363353 5
"194" 15.3223166427724 4
"195" 15.3260484492095 5
"196" 15.3297802556465 13
"197" 15.3335120620836 10
"198" 15.3372438685207 7
"199" 15.3409756749577 6
"200" 15.3447074813948 10
"201" 15.3484392878319 10
"202" 15.3521710942689 7
"203" 15.355902900706 9
"204" 15.3596347071431 6
"205" 15.3633665135801 3
"206" 15.3670983200172 5
"207" 15.3708301264543 9
"208" 15.3745619328913 8
"209" 15.3782937393284 10
"210" 15.3820255457655 10
"211" 15.3857573522025 4
"212" 15.3894891586396 6
"213" 15.3932209650767 9
"214" 15.3969527715137 9
"215" 15.4006845779508 10
"216" 15.4044163843879 8
"217" 15.4081481908249 4
"218" 15.411879997262 11
"219" 15.4156118036991 10
"220" 15.4193436101361 4
"221" 15.4230754165732 8
"222" 15.4268072230103 6
"223" 15.4305390294473 5
"224" 15.4342708358844 5
"225" 15.4380026423215 6
"226" 15.4417344487585 6
"227" 15.4454662551956 5
"228" 15.4491980616327 8
"229" 15.4529298680697 7
"230" 15.4566616745068 6
"231" 15.4603934809439 7
"232" 15.4641252873809 4
"233" 15.467857093818 5
"234" 15.4715889002551 4
"235" 15.4753207066921 2
"236" 15.4790525131292 9
"237" 15.4827843195663 9
"238" 15.4865161260033 9
"239" 15.4902479324404 5
"240" 15.4939797388775 10
"241" 15.4977115453145 6
"242" 15.5014433517516 6
"243" 15.5051751581887 7
"244" 15.5089069646257 12
"245" 15.5126387710628 8
"246" 15.5163705774999 3
"247" 15.5201023839369 9
"248" 15.523834190374 6
"249" 15.5275659968111 5
"250" 15.5312978032481 12
"251" 15.5350296096852 7
"252" 15.5387614161223 6
"253" 15.5424932225593 14
"254" 15.5462250289964 3
"255" 15.5499568354335 6
"256" 15.5536886418705 5
"257" 15.5574204483076 5
"258" 15.5611522547447 10
"259" 15.5648840611817 9
"260" 15.5686158676188 7
"261" 15.5723476740559 7
"262" 15.5760794804929 12
"263" 15.57981128693 4
"264" 15.5835430933671 3
"265" 15.5872748998041 7
"266" 15.5910067062412 9
"267" 15.5947385126783 11
"268" 15.5984703191153 9
"269" 15.6022021255524 6
"270" 15.6059339319895 7
"271" 15.6096657384265 2
"272" 15.6133975448636 4
"273" 15.6171293513007 6
"274" 15.6208611577377 6
"275" 15.6245929641748 7
"276" 15.6283247706119 5
"277" 15.6320565770489 4
"278" 15.635788383486 6
"279" 15.6395201899231 13
"280" 15.6432519963601 4
